RHC,1,0.488,0.484,0.009,0.005
SA,1,0.492,0.491,0.007,0.006
GA,1,0.457,0.456,0.385,0.005
RHC,2,0.505,0.503,0.014,0.005
SA,2,0.478,0.475,0.016,0.005
GA,2,0.462,0.469,0.784,0.005
RHC,3,0.516,0.523,0.020,0.005
SA,3,0.484,0.483,0.020,0.005
GA,3,0.452,0.456,1.111,0.005
RHC,4,0.509,0.516,0.028,0.005
SA,4,0.487,0.486,0.030,0.005
GA,4,0.456,0.455,1.497,0.005
RHC,5,0.504,0.501,0.034,0.005
SA,5,0.474,0.478,0.034,0.005
GA,5,0.451,0.452,1.879,0.005
RHC,6,0.471,0.470,0.045,0.005
SA,6,0.508,0.514,0.047,0.006
GA,6,0.461,0.462,2.363,0.008
RHC,8,0.493,0.499,0.060,0.006
SA,8,0.478,0.472,0.060,0.006
GA,8,0.451,0.454,2.981,0.005
RHC,10,0.473,0.472,0.074,0.006
SA,10,0.526,0.518,0.074,0.005
GA,10,0.455,0.456,3.894,0.005
RHC,12,0.479,0.482,0.087,0.005
SA,12,0.464,0.464,0.086,0.005
GA,12,0.447,0.453,4.652,0.005
RHC,15,0.507,0.501,0.102,0.005
SA,15,0.499,0.493,0.103,0.005
GA,15,0.463,0.460,5.631,0.005
RHC,19,0.506,0.512,0.140,0.005
SA,19,0.483,0.482,0.135,0.006
GA,19,0.456,0.453,7.106,0.005
RHC,24,0.467,0.468,0.179,0.005
SA,24,0.484,0.489,0.172,0.006
GA,24,0.439,0.443,9.200,0.005
RHC,29,0.578,0.586,0.206,0.006
SA,29,0.470,0.471,0.201,0.005
GA,29,0.450,0.456,11.483,0.007
RHC,36,0.481,0.482,0.282,0.007
SA,36,0.484,0.490,0.261,0.005
GA,36,0.446,0.450,13.826,0.005
RHC,45,0.488,0.496,0.324,0.006
SA,45,0.475,0.484,0.334,0.005
GA,45,0.448,0.453,17.160,0.005
RHC,56,0.471,0.467,0.420,0.007
SA,56,0.475,0.470,0.428,0.006
GA,56,0.450,0.451,21.823,0.005
RHC,69,0.477,0.468,0.680,0.006
SA,69,0.475,0.478,0.488,0.005
GA,69,0.450,0.455,26.333,0.006
RHC,86,0.486,0.483,0.621,0.005
SA,86,0.462,0.464,0.600,0.005
GA,86,0.445,0.445,31.950,0.005
RHC,106,0.463,0.469,0.779,0.006
SA,106,0.479,0.477,0.801,0.006
GA,106,0.453,0.450,39.701,0.005
RHC,131,0.471,0.475,0.905,0.006
SA,131,0.486,0.486,0.909,0.006
GA,131,0.447,0.447,49.076,0.005
RHC,162,0.535,0.527,1.152,0.007
SA,162,0.488,0.487,1.168,0.005
GA,162,0.444,0.451,61.988,0.006
RHC,201,0.476,0.481,1.466,0.005
SA,201,0.564,0.572,1.451,0.005
GA,201,0.434,0.435,78.075,0.006
RHC,248,0.434,0.443,1.757,0.005
SA,248,0.598,0.597,1.870,0.006
GA,248,0.443,0.444,93.648,0.005
RHC,307,0.451,0.449,2.258,0.007
SA,307,0.490,0.487,2.151,0.005
GA,307,0.452,0.453,118.318,0.005
RHC,380,0.406,0.407,2.699,0.006
SA,380,0.484,0.483,2.789,0.006
GA,380,0.462,0.467,144.726,0.005
RHC,470,0.442,0.439,3.306,0.006
SA,470,0.470,0.468,3.348,0.005
GA,470,0.456,0.453,180.922,0.007
RHC,581,0.426,0.423,4.465,0.007
SA,581,0.486,0.486,4.290,0.006
GA,581,0.459,0.460,230.122,0.007
RHC,718,0.412,0.419,5.112,0.006
SA,718,0.509,0.513,5.118,0.005
GA,718,0.445,0.440,266.445,0.005
RHC,888,0.419,0.426,6.456,0.006
SA,888,0.451,0.460,6.455,0.006
GA,888,0.439,0.444,360.643,0.006
RHC,1099,0.361,0.363,8.113,0.006
SA,1099,0.434,0.423,8.102,0.005
GA,1099,0.451,0.449,417.858,0.005
RHC,1358,0.354,0.365,9.916,0.006
SA,1358,0.446,0.441,9.914,0.006
GA,1358,0.460,0.461,517.548,0.005
RHC,1680,0.354,0.364,12.371,0.006
SA,1680,0.403,0.400,12.256,0.008
GA,1680,0.470,0.473,635.929,0.005
RHC,2077,0.340,0.335,14.662,0.005
SA,2077,0.393,0.398,14.631,0.006
GA,2077,0.441,0.445,778.473,0.005
RHC,2568,0.308,0.313,17.880,0.005
SA,2568,0.334,0.336,17.846,0.006
GA,2568,0.466,0.458,958.623,0.005
RHC,3175,0.268,0.290,22.531,0.005
SA,3175,0.312,0.330,23.214,0.005
GA,3175,0.454,0.459,1172.370,0.006
RHC,3925,0.208,0.229,27.718,0.005
SA,3925,0.257,0.264,28.345,0.007
GA,3925,0.455,0.456,1460.524,0.005
RHC,4853,0.157,0.164,34.150,0.006
SA,4853,0.230,0.247,33.764,0.005
GA,4853,0.458,0.459,1884.857,0.006
RHC,6001,0.140,0.158,45.993,0.006
SA,6001,0.210,0.215,43.407,0.005
GA,6001,0.450,0.457,2325.944,0.007
RHC,7419,0.098,0.111,53.638,0.006
SA,7419,0.139,0.168,53.112,0.005
GA,7419,0.464,0.467,3070.155,0.007
RHC,9173,0.076,0.114,66.005,0.005
SA,9173,0.092,0.119,65.392,0.006
GA,9173,0.458,0.465,3393.951,0.005
RHC,11342,0.055,0.079,80.617,0.006
SA,11342,0.062,0.090,79.578,0.006
GA,11342,0.436,0.438,4200.343,0.005
RHC,14023,0.038,0.060,98.557,0.005
SA,14023,0.040,0.071,98.933,0.005
GA,14023,0.419,0.417,5229.606,0.006
RHC,17337,0.032,0.060,121.278,0.005
SA,17337,0.039,0.079,122.595,0.005
GA,17337,0.443,0.437,6839.808,0.005
RHC,21436,0.017,0.051,171.737,0.006
SA,21436,0.028,0.068,164.243,0.005
GA,21436,0.453,0.454,8183.969,0.006
RHC,26503,0.016,0.052,189.564,0.005
SA,26503,0.013,0.062,185.571,0.005
GA,26503,0.426,0.437,9700.436,0.006
RHC,32768,0.009,0.045,228.495,0.005
SA,32768,0.012,0.066,230.944,0.005
GA,32768,0.464,0.465,12245.516,0.005
